City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Jizan,SA,81.54,clear sky,17.3333,42.6667,شهدان. ابوالحجر
443,Buala,SB,83.32,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
446,Metro,ID,80.56,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
457,Alenquer,BR,82.74,broken clouds,-1.9417,-54.7383,Josilene Castro
458,Rantepao,ID,78.57,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
461,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
469,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
473,Mudon,MM,77.29,overcast clouds,16.2578,97.7164,Motel Mudon
476,Orocue,CO,76.08,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
477,Ixtapa,MX,75.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
483,Bilma,NE,76.87,clear sky,18.6853,12.9164,Expeditions Ténére voyages
489,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
503,Phan Thiet,VN,80.53,scattered clouds,10.9333,108.1,Hotel Saigon-PT
510,Roura,GF,81.97,mist,4.7263,-52.3274,Amazonie Découverte SARL
514,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
517,Moussoro,TD,84.69,overcast clouds,13.6408,16.4901,Hôtel Salama
520,Ternate,ID,83.44,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
521,Rockport,US,77.25,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
523,Kefamenanu,ID,85.32,broken clouds,-9.4467,124.4781,Sokowindo Losmen
524,Ulladulla,AU,77.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
531,Maragogi,BR,76.96,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
535,Tirukkoyilur,IN,75.24,moderate rain,11.95,79.2,Hotel SKTC Grand Palace
544,Kununurra,AU,85.98,few clouds,-15.7667,128.7333,Hotel Kununurra
551,Salaga,GH,79.36,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
556,Champerico,GT,81.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
559,Eydhafushi,MV,82.22,overcast clouds,5.1033,73.0708,Soneva Fushi
566,Lucea,JM,78.66,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
570,Idenao,CM,77.72,light rain,4.2475,9.0047,Moland Beach Resort
572,Porto Velho,BR,77.05,few clouds,-8.7619,-63.9039,Hotel Central
579,Auki,SB,82.0,overcast clouds,-8.7676,160.7034,Auki Motel
580,Omboue,GA,75.92,light rain,-1.5746,9.2618,Hotel Olako
582,Pathein,MM,77.74,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
586,Canton,CN,75.0,overcast clouds,23.1167,113.25,Guangzhou Hotel
587,Caravelas,BR,75.18,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
588,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
589,Razole,IN,80.89,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
595,Alice Springs,AU,76.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
596,Kattivakkam,IN,78.89,light rain,13.2167,80.3167,Euronova Freezer
598,Gizo,SB,82.8,moderate rain,-8.103,156.8419,Imagination Island
603,Mae Sot,TH,75.15,few clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
608,La Romana,DO,78.53,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
609,Cartagena,CO,76.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
611,Ambulu,ID,80.33,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
615,Itarema,BR,80.35,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
621,Dingle,PH,82.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
624,Acarau,BR,80.19,scattered clouds,-2.8856,-40.12,castelo pizzaria
627,Victor Harbor,AU,82.18,clear sky,-35.5667,138.6167,McCracken Country Club
630,Morant Bay,JM,83.82,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
638,Dhidhdhoo,MV,80.94,heavy intensity rain,6.8833,73.1,Dhidhoo beach
644,Presidente Dutra,BR,78.51,scattered clouds,-5.29,-44.49,Pousada Planalto
645,Kavaratti,IN,81.1,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
649,Labuhan,ID,84.87,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
658,Ranong,TH,78.73,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
660,Itoman,JP,80.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
661,Tanete,ID,83.75,broken clouds,-3.9443,119.7848,Wisma Tri Multi
663,Presidencia Roque Saenz Pena,AR,79.5,overcast clouds,-26.7852,-60.4388,Hotel Aconcagua
665,Singojuruh,ID,82.26,overcast clouds,-8.3167,114.2333,Rumah Nita Selvia
667,Sainte-Rose,GP,75.24,clear sky,16.3324,-61.6979,Villa - Duzer
