City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Salur,IN,18.5333,83.2167,75.18,88,94,0.45,overcast clouds
273,Menemen,TR,38.6075,27.0694,58.37,94,75,0.0,broken clouds
274,Tual,ID,-5.6667,132.75,84.24,70,72,5.7,broken clouds
275,Barcelos,PT,41.5388,-8.6151,59.14,92,100,6.26,overcast clouds
276,Halifax,CA,44.6453,-63.5724,58.89,97,97,1.01,overcast clouds
277,Vestmanna,FO,62.1564,-7.1664,40.12,100,40,6.91,mist
278,Mancio Lima,BR,-7.6142,-72.8958,77.16,80,13,2.06,light rain
279,Bosaso,SO,11.2842,49.1816,78.8,73,28,8.41,scattered clouds
280,Nemuro,JP,43.3236,145.575,52.23,72,9,10.87,clear sky
281,Narsaq,GL,60.9167,-46.05,25.02,65,27,7.31,scattered clouds
282,Gat,IL,31.61,34.7642,78.08,40,100,7.74,overcast clouds
283,Meybod,IR,32.2501,54.0166,60.82,38,0,5.86,clear sky
284,Talaya,RU,61.3833,152.75,-8.84,95,70,0.34,broken clouds
285,Itumba,TZ,-9.4,33.1833,64.33,69,23,2.98,few clouds
286,Mora,CM,11.0461,14.1401,79.38,26,100,4.88,overcast clouds
287,Klaksvik,FO,62.2266,-6.589,41.92,66,100,9.8,overcast clouds
288,Pechenga,RU,69.5259,31.1703,25.66,93,73,5.32,broken clouds
289,Linqiong,CN,30.4159,103.4609,61.79,77,100,0.87,overcast clouds
290,Daeni,RO,44.8333,28.1167,50.34,71,100,4.21,overcast clouds
291,Lethem,GY,3.3803,-59.7968,79.68,76,86,7.29,overcast clouds
292,Elko,US,41.0002,-115.5012,55.22,52,100,5.99,overcast clouds
293,Caxito,AO,-8.5785,13.6643,75.85,80,100,4.74,overcast clouds
294,Tiarei,PF,-17.5333,-149.3333,84.22,73,36,15.52,scattered clouds
295,Bengkulu,ID,-3.8004,102.2655,78.3,82,100,3.47,overcast clouds
296,Faanui,PF,-16.4833,-151.75,78.76,74,95,17.05,overcast clouds
297,Mahebourg,MU,-20.4081,57.7,70.25,88,40,3.44,scattered clouds
298,Gunjur,GM,13.2019,-16.7339,80.67,89,0,5.75,clear sky
299,Hofn,IS,64.2539,-15.2082,39.6,60,99,26.42,overcast clouds
300,Poum,NC,-20.2333,164.0167,75.69,70,0,18.39,clear sky
301,Victoria,HK,22.2855,114.1577,78.85,81,37,1.01,scattered clouds
302,Homer,US,59.6425,-151.5483,49.89,69,75,10.36,broken clouds
303,San Jose,US,37.3394,-121.895,63.99,70,75,9.22,broken clouds
304,Las Vegas,US,36.175,-115.1372,79.48,23,1,13.8,clear sky
305,Saint-Augustin,CA,51.226,-58.6502,44.06,65,100,8.77,overcast clouds
306,Mechetinskaya,RU,46.7713,40.456,48.56,99,0,4.03,clear sky
307,Balkanabat,TM,39.5108,54.3671,57.42,48,2,8.88,clear sky
308,Kenai,US,60.5544,-151.2583,42.15,86,90,14.97,light rain
309,Sept-Iles,CA,50.2001,-66.3821,49.24,96,90,15.99,overcast clouds
310,Ambilobe,MG,-13.2,49.05,71.73,93,14,3.31,few clouds
311,Tiksi,RU,71.6872,128.8694,11.88,83,100,11.36,overcast clouds
312,Yizheng,CN,24.6706,103.4296,55.33,95,100,2.82,overcast clouds
313,Turan,VN,16.0678,108.2208,78.85,100,75,1.14,broken clouds
314,Henties Bay,NA,-22.116,14.2845,59.86,92,0,6.4,clear sky
315,San Patricio,US,28.017,-97.5169,77.09,58,0,9.28,clear sky
316,Sharjah,AE,25.3573,55.4033,78.78,69,0,4.61,clear sky
317,Axim,GH,4.8699,-2.2405,77.7,86,100,10.4,light rain
318,Londoko,RU,49.0333,131.9833,36.03,29,4,1.16,clear sky
319,Kindu,CD,-2.95,25.95,68.65,100,100,0.49,moderate rain
320,Bathsheba,BB,13.2167,-59.5167,75.81,88,75,17.27,broken clouds
321,Usinsk,RU,65.9939,57.5281,4.24,79,1,12.03,clear sky
322,Laguna,US,38.421,-121.4238,65.75,65,1,0.0,clear sky
323,Ridgecrest,US,35.6225,-117.6709,73.26,23,1,15.99,clear sky
324,Miranda,CO,3.2499,-76.2281,69.93,91,100,2.77,overcast clouds
325,Saint-Georges,GD,12.0564,-61.7485,80.28,78,40,5.75,scattered clouds
326,Kirakira,SB,-10.4544,161.9205,86.97,62,100,13.8,overcast clouds
327,Kruisfontein,ZA,-34.0033,24.7314,61.88,84,100,11.81,overcast clouds
328,Butaritari,KI,3.0707,172.7902,81.81,76,1,11.54,light rain
329,Wana,PK,32.2989,69.5725,55.22,28,0,1.59,clear sky
330,Forbes,AU,-33.3833,148.0167,72.91,31,100,9.33,overcast clouds
331,Dzilam Gonzalez,MX,21.2833,-88.9333,70.86,67,32,5.73,scattered clouds
332,Puhja,EE,58.3419,26.3147,50.04,93,100,5.48,overcast clouds
333,Dakar,SN,14.6937,-17.4441,81.48,76,99,15.01,overcast clouds
334,Rovaniemi,FI,66.5,25.7167,36.81,100,90,8.05,light intensity drizzle
335,Gravdal,NO,68.1214,13.5031,48.09,87,90,10.36,light intensity drizzle
336,Collierville,US,35.042,-89.6645,55.18,86,0,6.15,clear sky
337,Pavlikeni,BG,43.2428,25.3219,55.54,83,53,1.7,broken clouds
338,Khuzdar,PK,27.7384,66.6434,57.78,29,0,9.31,clear sky
339,Pudoc,PH,16.9215,120.4235,83.68,59,64,2.08,broken clouds
340,Dera Bugti,PK,29.0307,69.151,67.78,17,0,3.83,clear sky
341,Pangai,TO,-19.8,-174.35,80.71,61,20,11.5,few clouds
342,Mayo,US,38.8876,-76.5119,59.56,77,1,1.01,clear sky
343,Hutchinson,US,38.0608,-97.9298,51.31,54,1,1.01,clear sky
344,Kavieng,PG,-2.5744,150.7967,85.95,63,46,14.9,scattered clouds
